Student ID,Student Name,Grd,Gen,Birth Date,Address,CityStateZip,Email,Parent Name,Relation,ParentEmail,Phone,Orderby,Communication Home Language,Section,Teacher
1760302,"Al-Rashid, Layla",05,F,05/08/2016,8210 NE 12th St,"Medina, WA 98039",laylaalra@student.example.com,"Al-Rashid, Fatima",Mother,fatima.alrashid@example.com,425-555-0610,1,Arabic,5ORCH1,"Rampersad, R"
1760302,"Al-Rashid, Layla",05,F,05/08/2016,8210 NE 12th St,"Medina, WA 98039",laylaalra@student.example.com,"Al-Rashid, Omar",Father,omar.alrashid@example.com,425-555-0611,2,Arabic,5ORCH1,"Rampersad, R"
1760318,"Beaumont, Colette",05,F,11/17/2015,1140 Evergreen Point Rd,"Medina, WA 98039",colettebeau@student.example.com,"Beaumont, Sylvie",Mother,sylvie.beaumont@example.com,425-555-0622,1,French,5ORCH1,"Rampersad, R"
1760325,"Choi, Jiwoo",05,M,01/29/2016,7908 NE 8th St,"Medina, WA 98039",jiwoochoi@student.example.com,"Choi, Sunhee",Mother,sunhee.choi@example.com,425-555-0633,1,Korean,5ORCH1,"Rampersad, R"
1760325,"Choi, Jiwoo",05,M,01/29/2016,7908 NE 8th St,"Medina, WA 98039",jiwoochoi@student.example.com,"Choi, Minho",Father,minho.choi@example.com,425-555-0634,2,Korean,5ORCH1,"Rampersad, R"
1760337,"Garrison, Eliza",05,F,08/04/2016,8425 Overlake Dr W,"Medina, WA 98039",elizagarr@student.example.com,"Garrison, Pauline",Mother,pauline.garrison@example.com,425-555-0645,1,English,5ORCH1,"Rampersad, R"
1760344,"Nakashima, Ren",05,M,03/12/2016,1002 84th Ave NE,"Medina, WA 98039",rennaka@student.example.com,"Nakashima, Aiko",Mother,aiko.nakashima@example.com,425-555-0656,1,Japanese,5ORCH1,"Rampersad, R"
1760344,"Nakashima, Ren",05,M,03/12/2016,1002 84th Ave NE,"Medina, WA 98039",rennaka@student.example.com,"Nakashima, Toru",Father,toru.nakashima@example.com,425-555-0657,2,Japanese,5ORCH1,"Rampersad, R"
1760359,"Okonkwo, Adaeze",05,F,10/21/2015,7745 NE 14th St,"Medina, WA 98039",adaezeokon@student.example.com,"Okonkwo, Chioma",Mother,chioma.okonkwo@example.com,425-555-0667,1,English,5ORCH1,"Rampersad, R"
1760359,"Okonkwo, Adaeze",05,F,10/21/2015,7745 NE 14th St,"Medina, WA 98039",adaezeokon@student.example.com,"Okonkwo, Ikenna",Father,ikenna.okonkwo@example.com,425-555-0668,2,English,5ORCH1,"Rampersad, R"
1760359,"Okonkwo, Adaeze",05,F,10/21/2015,7745 NE 14th St,"Medina, WA 98039",adaezeokon@student.example.com,"Nwosu, Grace",Grandmother,grace.nwosu@example.com,425-555-0669,3,English,5ORCH1,"Rampersad, R"
1760366,"Vance, Theodore",05,M,06/30/2016,8830 NE 10th Pl,"Medina, WA 98039",theodorevanc@student.example.com,"Vance, Marissa",Mother,marissa.vance@example.com,425-555-0678,1,English,5ORCH1,"Rampersad, R"
